customer_id,first_name,last_name,email,phone_number,gender,dob,signup_date,address,city,state,country,source
0d244537-8164-4b84-bcf2-0e43766f3221,Maria,Day,maria_day165@yahoo.com,449-977-1729,M,1988-04-11,2016-12-05,107 Joseph Station,Padillaborough,Oregon,Micronesia,referral
66c5800b-ad5c-4fac-86df-16472d82f02d,Kevin,Cantu,kevinc357@gmail.com,501-347-4824,M,1955-09-19,2024-02-03,3577 Anita Knoll Apt. 107,Justinton,Delaware,Portugal,referral
e7852eee-0a28-46dc-aa34-445a02530746,Ronald,Daniel,ronald.d555@yahoo.com,268-822-6332,M,1971-11-02,2016-04-12,3440 Tammy Views Suite 698,New Autumnland,Mississippi,Uganda,web
14f0e67d-e60e-4989-88cf-5be50d515a69,Katherine,Smith,katherine.s525@gmail.com,864-894-1347,F,1955-03-25,2019-06-21,98888 Morales Lakes,New Jose,Minnesota,Bahrain,web
1ce2f061-345c-4121-a4ba-32963cf9a15d,Brandon,Glover,glover.brandon535@hotmail.com,489-732-5436,M,1968-06-25,2022-01-09,55037 Denise Crest Apt. 565,Port Amber,Oregon,Latvia,referral
6ddc1772-f210-4111-87c9-c2ec73776c37,Toni,Li,toni760@outlook.com,522-382-8559,F,1981-09-30,2023-11-25,1230 Padilla Parks Suite 647,North Melvintown,Kentucky,Uganda,app
9a3ae2d2-97d7-43b4-843c-ebac2fc0131c,Barbara,Luna,barbara_luna701@yahoo.com,063-045-0948,F,1991-01-07,2025-11-01,768 Martha Plaza,Andersonberg,Maine,Guyana,referral
69814e99-477d-48dc-8d7b-2d1137f1cf37,Richard,Benson,richard527@gmail.com,755-281-0372,M,2002-08-02,2016-02-27,8812 Cheryl Radial Apt. 428,Huntview,Wyoming,Greenland,web
d081d287-527e-4a77-bd62-50e28a110ddb,James,Ali,ali.james653@gmail.com,197-487-6994,M,1968-02-11,2018-04-08,674 Lynch Spring Apt. 341,Martinstad,New Hampshire,Netherlands,app
5a298d80-e951-4565-98cb-5cb7ef301fc2,Jay,Jones,jayjones281@outlook.com,894-933-6997,M,1963-08-22,2023-03-05,82891 Grant Park Suite 174,Brownfort,Wisconsin,Liechtenstein,web
cbb77d6e-4495-4c6b-b8d9-d5c3abd9ce1d,Aaron,White,aaron63@gmail.com,351-424-0980,M,1955-08-17,2023-07-12,07704 Cameron Fork,Lake Amymouth,Arizona,Bouvet Island (Bouvetoya),web
999fa048-4fc6-48d8-b200-31ceaccacda2,James,Mejia,james.mejia@outlook.com,205-022-2886,M,1983-12-08,2015-05-09,82237 Gonzales Mall,Lopezchester,Maine,Cook Islands,web
87544ae1-b19c-45b6-944e-8f66395cfe85,Kyle,Romero,romero.kyle595@hotmail.com,353-092-8803,M,1982-02-13,2018-09-05,32009 Banks Plaza Apt. 822,Tammyside,Oregon,Tajikistan,referral
1388561a-72d1-4612-ae8b-1de74978e223,Wayne,Smith,wayne.smith@hotmail.com,927-163-1353,M,1972-10-25,2021-12-23,27487 Gonzalez Corner Suite 590,East Christieshire,Florida,Greenland,referral
e3eca3cc-9010-498a-b9b5-f24afff9ed64,Leslie,Reynolds,leslie963@icloud.com,589-341-8236,M,2005-04-27,2016-06-23,54781 Robinson Stravenue Suite 990,West Shannonburgh,Minnesota,Tokelau,referral
399487d1-f9c0-4ae2-9227-300ae3eec148,Alan,Brown,alan_brown821@outlook.com,712-046-0252,F,1980-09-24,2023-10-03,26017 Duncan Village,Joshuatown,Iowa,Angola,referral
723e2735-fe7c-42d8-a527-5f525ec43834,Deborah,Wright,deborah.w218@yahoo.com,256-993-8096,F,1959-05-18,2017-11-29,140 Gardner Prairie Apt. 174,North Jenniferfort,Kansas,Sudan,app
d02ecde6-da99-4239-b5da-bb3b1eb421a0,Michael,Ross,mross@gmail.com,290-041-9470,M,1963-08-31,2016-06-29,98127 Hanna Shore Apt. 662,Larryport,Maine,Paraguay,web
f986c540-f919-44f4-8d26-42397d28da3e,Nathaniel,Wagner,nathaniel_wagner481@icloud.com,827-308-2086,M,2006-01-21,2024-06-07,816 Joshua Isle Apt. 449,South Johnmouth,Alaska,Palau,app
5004fa30-1d3c-4d5a-829d-67033e22402c,Thomas,Weeks,thomas_weeks835@yahoo.com,047-133-4446,F,1959-11-21,2017-10-27,0999 Robert Prairie Suite 015,Port Jessica,Illinois,Liechtenstein,web
2e3d574b-57eb-4418-a778-9e84c7654689,Caitlin,Hernandez,,959-000-2424,M,1993-07-21,2016-10-05,639 Jennifer Creek,Lake Barbara,New Jersey,Gabon,web
d3c04894-f805-4baf-85d4-e80b4b5fec1b,Jose,Kirk,kirk.jose683@outlook.com,631-072-5576,M,1987-05-22,2024-07-29,25702 Justin Oval,Davidchester,Oklahoma,Zimbabwe,referral
2439ae33-15a4-4c7c-b3bf-338e188b43d6,Juan,Morrison,juan.m302@icloud.com,402-723-0113,M,1967-12-21,2024-06-03,435 Klein Village,New Lisaville,New Hampshire,Italy,referral
05a628f8-8e6b-44c8-ad11-d19c2dd42318,Lauren,Parker,lparker@outlook.com,133-970-4145,F,2007-07-15,2018-03-07,229 Anthony Station Apt. 067,North Dorisburgh,Iowa,Zimbabwe,web
3d12e6c6-cad4-4b98-b3b5-3ebf02623777,Kevin,Hart,hart.kevin803@yahoo.com,822-082-7385,F,1960-01-24,2024-08-10,252 Castillo Mount,Shawnshire,Colorado,Saint Martin,app
f910cfc3-7bab-4e80-8668-a4bcadc5c723,Samantha,Rivera,samantharivera722@outlook.com,008-807-7361,F,1975-07-30,2020-02-02,10167 Wilson Villages,West Amy,Arizona,Bolivia,app
1741a0ce-c436-4986-923b-f13e6a9bee30,Michael,Smith,michaelsmith437@yahoo.com,573-704-9594,M,1960-11-21,2018-08-08,625 Fields Greens,East Josephville,Nebraska,Uruguay,web
6e2c9970-1682-4ec0-9230-d9f877746be1,Jonathan,Smith,jonathan.s3@hotmail.com,713-117-6830,M,1958-10-22,2018-11-04,771 Lori Street,Millerton,New Mexico,Trinidad and Tobago,web
